epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.153,1.02951,4.66794,1.26024,0.17675,0.06665,0.0164,0.01218,1.02172,3.59877,1.25318,0.00332969,0.00332969,0.00332969
2,310.765,1.11049,4.07048,1.29716,0.23937,0.0708,0.02575,0.01802,1.05879,3.26844,1.25074,0.00659706,0.00659706,0.00659706
3,448.194,1.19272,3.85694,1.31623,0.25813,0.1092,0.03519,0.0259,1.29296,3.58416,1.41667,0.00979843,0.00979843,0.00979843
4,583.886,1.23841,3.7466,1.34604,0.21906,0.10937,0.03968,0.02774,1.0851,3.28565,1.27332,0.009703,0.009703,0.009703
5,721.101,1.16632,3.44204,1.29062,0.30077,0.13792,0.05962,0.04488,1.03629,2.98049,1.2148,0.009604,0.009604,0.009604
6,857.022,1.1184,3.22604,1.26566,0.33241,0.15363,0.06935,0.05315,0.97323,2.91926,1.18758,0.009505,0.009505,0.009505
7,993.16,1.08983,3.07906,1.24905,0.22174,0.16187,0.07711,0.05955,0.9756,2.9323,1.18494,0.009406,0.009406,0.009406
8,1128.94,1.07003,2.97826,1.22958,0.1863,0.20745,0.098,0.07806,0.91307,2.67885,1.13442,0.009307,0.009307,0.009307
9,1265.25,1.05129,2.90336,1.21714,0.29352,0.23266,0.12109,0.09805,0.88193,2.61103,1.12381,0.009208,0.009208,0.009208
10,1400.94,1.02828,2.82173,1.2038,0.27324,0.2409,0.13501,0.10892,0.8635,2.48864,1.10634,0.009109,0.009109,0.009109
11,1536.37,1.01334,2.77329,1.1987,0.22681,0.25274,0.13763,0.10906,0.83111,2.45599,1.08145,0.00901,0.00901,0.00901
12,1672.31,0.99124,2.71998,1.18571,0.27072,0.25158,0.16486,0.13526,0.81711,2.38798,1.07212,0.008911,0.008911,0.008911
13,1808.63,0.98679,2.66666,1.17888,0.26626,0.27127,0.18044,0.14796,0.81293,2.36593,1.0821,0.008812,0.008812,0.008812
14,1944.2,0.96904,2.64035,1.17744,0.23129,0.29185,0.19204,0.16184,0.78702,2.30188,1.05722,0.008713,0.008713,0.008713
15,2078.99,0.95986,2.5866,1.16672,0.26698,0.25959,0.19843,0.16449,0.78555,2.29714,1.06088,0.008614,0.008614,0.008614
16,2212.96,0.94414,2.55459,1.15778,0.2775,0.2936,0.20787,0.175,0.76533,2.23362,1.048,0.008515,0.008515,0.008515
17,2347.37,0.93996,2.51559,1.15955,0.29884,0.2809,0.22057,0.1837,0.75697,2.17473,1.04626,0.008416,0.008416,0.008416
18,2481.71,0.92971,2.48377,1.1506,0.30933,0.30689,0.22835,0.19034,0.74432,2.13397,1.03448,0.008317,0.008317,0.008317
19,2616.67,0.92395,2.44911,1.14718,0.33037,0.32365,0.26376,0.2218,0.73003,2.08379,1.02666,0.008218,0.008218,0.008218
20,2751.06,0.91574,2.42147,1.13627,0.31505,0.3291,0.27183,0.23036,0.72383,2.07159,1.02357,0.008119,0.008119,0.008119
21,2884.99,0.8984,2.38235,1.13359,0.32862,0.33014,0.2907,0.24445,0.71658,2.04583,1.02029,0.00802,0.00802,0.00802
22,3019.15,0.8992,2.36683,1.12838,0.34443,0.33165,0.28654,0.23957,0.71219,1.97887,1.01713,0.007921,0.007921,0.007921
23,3153.02,0.8909,2.32758,1.12774,0.35755,0.35106,0.31798,0.27113,0.70001,1.94304,1.00794,0.007822,0.007822,0.007822
24,3287.02,0.89271,2.30574,1.12506,0.39248,0.341,0.33037,0.28404,0.68972,1.91335,1.00092,0.007723,0.007723,0.007723
25,3421.13,0.87966,2.2781,1.11773,0.39663,0.34126,0.34722,0.29586,0.68939,1.87393,0.99785,0.007624,0.007624,0.007624
26,3555.74,0.87573,2.25164,1.11895,0.42795,0.33576,0.34603,0.29614,0.67539,1.84581,0.98959,0.007525,0.007525,0.007525
27,3690.7,0.87525,2.22097,1.11676,0.36128,0.3892,0.36559,0.31061,0.67827,1.81383,0.99272,0.007426,0.007426,0.007426
28,3826.6,0.86856,2.20193,1.11081,0.44821,0.35564,0.37348,0.318,0.6694,1.77984,0.98885,0.007327,0.007327,0.007327
29,3961.27,0.86367,2.17497,1.10798,0.41142,0.38525,0.37724,0.32471,0.66834,1.77287,0.9846,0.007228,0.007228,0.007228
30,4095.51,0.86293,2.14239,1.10635,0.41268,0.41049,0.39404,0.33987,0.65972,1.72216,0.97605,0.007129,0.007129,0.007129
31,4229.58,0.85431,2.12808,1.10226,0.51608,0.39792,0.41763,0.36133,0.64876,1.69519,0.97356,0.00703,0.00703,0.00703
32,4364.59,0.84879,2.0993,1.10383,0.49366,0.39042,0.42835,0.37009,0.64727,1.66847,0.9735,0.006931,0.006931,0.006931
33,4498.62,0.84054,2.07555,1.0948,0.50014,0.41448,0.43532,0.37832,0.64446,1.6629,0.97112,0.006832,0.006832,0.006832
34,4631.86,0.83217,2.05269,1.09125,0.45125,0.42956,0.43551,0.37522,0.64233,1.63168,0.9751,0.006733,0.006733,0.006733
35,4765.43,0.84176,2.03966,1.09627,0.49146,0.43394,0.45927,0.39798,0.63942,1.6005,0.96989,0.006634,0.006634,0.006634
36,4899.6,0.84198,2.03601,1.09256,0.45524,0.43719,0.45434,0.39379,0.63064,1.58216,0.96229,0.006535,0.006535,0.006535
37,5034.87,0.82454,1.99015,1.08738,0.52551,0.44096,0.47225,0.40954,0.63309,1.55697,0.96538,0.006436,0.006436,0.006436
38,5168.64,0.8253,1.97184,1.08651,0.49021,0.44551,0.47568,0.41059,0.63223,1.5456,0.96337,0.006337,0.006337,0.006337
39,5303.83,0.82554,1.95104,1.0854,0.55173,0.43765,0.49113,0.42791,0.6231,1.51908,0.96046,0.006238,0.006238,0.006238
40,5438.77,0.81973,1.93501,1.083,0.61371,0.39113,0.49329,0.42984,0.61866,1.51017,0.95661,0.006139,0.006139,0.006139
41,5573.5,0.81325,1.91587,1.07876,0.62335,0.40642,0.50452,0.44062,0.61447,1.49076,0.95453,0.00604,0.00604,0.00604
42,5707.85,0.8111,1.89144,1.07651,0.60909,0.42384,0.51129,0.44807,0.61697,1.47507,0.95608,0.005941,0.005941,0.005941
43,5842.84,0.79843,1.86046,1.07171,0.58571,0.44283,0.52082,0.45566,0.61434,1.46131,0.95389,0.005842,0.005842,0.005842
44,5977.02,0.79933,1.86305,1.07123,0.60043,0.44984,0.5255,0.46095,0.60591,1.45172,0.9504,0.005743,0.005743,0.005743
45,6111.57,0.79859,1.83006,1.07008,0.60104,0.46279,0.53806,0.47098,0.60416,1.43404,0.94744,0.005644,0.005644,0.005644
46,6245.6,0.79216,1.80851,1.06822,0.56172,0.48907,0.53858,0.47263,0.60252,1.41295,0.9458,0.005545,0.005545,0.005545
47,6380.3,0.79129,1.7954,1.06622,0.61281,0.46727,0.54472,0.47873,0.60227,1.40567,0.9447,0.005446,0.005446,0.005446
48,6514.81,0.78853,1.78549,1.06627,0.61284,0.47967,0.55167,0.48506,0.60283,1.39278,0.94697,0.005347,0.005347,0.005347
49,6648.98,0.78602,1.75812,1.06368,0.5819,0.50337,0.56125,0.4961,0.59606,1.37616,0.94311,0.005248,0.005248,0.005248
50,6782.82,0.78235,1.73718,1.06011,0.59709,0.50212,0.56316,0.49755,0.59596,1.36465,0.94134,0.005149,0.005149,0.005149
51,6917.06,0.77783,1.73542,1.06151,0.61564,0.5077,0.56988,0.50253,0.59451,1.35367,0.93951,0.00505,0.00505,0.00505
52,7052.02,0.77605,1.71652,1.05801,0.58235,0.52228,0.5714,0.50353,0.59637,1.34345,0.94096,0.004951,0.004951,0.004951
53,7186.15,0.77259,1.69753,1.05849,0.60909,0.50212,0.5717,0.50333,0.59533,1.33592,0.93995,0.004852,0.004852,0.004852
54,7320.89,0.7672,1.67538,1.05245,0.62401,0.49059,0.57393,0.50555,0.59237,1.3307,0.9396,0.004753,0.004753,0.004753
55,7455.28,0.76405,1.66943,1.05409,0.60384,0.50367,0.5773,0.50997,0.59013,1.31921,0.93939,0.004654,0.004654,0.004654
56,7589.63,0.76385,1.65016,1.0516,0.55974,0.5304,0.58275,0.51514,0.58827,1.30768,0.93854,0.004555,0.004555,0.004555
